year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2016	12280	30123	Academy of Art	23	1511143	Galipeau, D'Andree	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1511143	Jr	F	5-10	6	2	135:00	11	26	42.31	 	 	""	4	7	57.14	26	4.33	11	10	21	3.50	 	10	2	1	17	6	1	 	 
2016	12280	30123	Academy of Art	21	1402114	Guinn, Jasmin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1402114	Sr	G	5-6	6	6	216:00	42	94	44.68	11	33	33.33	30	44	68.18	125	20.83	8	29	37	6.17	15	11	18	3	17	6	 	 	 
2016	12280	30123	Academy of Art	20	1402115	Sheng, Zoie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1402115	Sr	G	5-6	6	6	209:00	32	80	40.00	11	31	35.48	19	22	86.36	94	15.67	14	11	25	4.17	27	14	10	2	14	6	1	1	 
2016	12280	30123	Academy of Art	22	1402116	Storey, Sha'Nice	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1402116	Sr	G	5-6	6	6	151:00	18	57	31.58	12	40	30.00	 	 	""	48	8.00	4	8	12	2.00	3	9	5	2	20	6	1	 	 
2016	12280	30123	Academy of Art	33	1402117	Camera, Regina	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1402117	Sr	G	5-7	6	6	211:00	35	95	36.84	8	34	23.53	13	26	50.00	91	15.17	18	21	39	6.50	19	17	11	 	18	6	2	 	 
2016	12280	30123	Academy of Art	44	1628951	Brown, Caron	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1628951	Sr	C	6-2	6	3	86:00	12	19	63.16	 	 	""	1	3	33.33	25	4.17	7	13	20	3.33	1	12	 	 	30	6	6	 	 
2016	12280	30123	Academy of Art	24	1735738	Dominick, Pre'Franz	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1735738	Jr	F	5-10	5	0	32:00	3	11	27.27	 	1	0.00	 	1	0.00	6	1.20	2	4	6	1.20	 	4	 	1	7	5	 	 	 
2016	12280	30123	Academy of Art	32	1735739	Mora, Priscilla	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1735739	Jr	F	5-9	5	1	43:00	2	2	100.00	 	 	""	2	4	50.00	6	1.20	2	5	7	1.40	2	2	1	 	7	5	 	 	 
2016	12280	30123	Academy of Art	04	1735740	Harris, Desiree	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1735740	So	G	5-8	5	0	108:00	4	18	22.22	1	8	12.50	8	10	80.00	17	3.40	4	3	7	1.40	11	6	2	 	14	5	 	 	 
2016	12280	30123	Academy of Art	11	1511144	Aranda, Irene	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1511144	Jr	G	5-10	2	0	5:00	 	1	0.00	 	1	0.00	 	 	""	 	""	1	2	3	1.50	 	 	 	 	 	2	 	 	 
2016	12280	30123	Academy of Art	10	1735737	Valdeolmillos-Gomez, Maria	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1735737	Fr	G	5-6	2	0	3:00	 	 	""	 	 	""	1	2	50.00	1	0.50	 	 	 	""	 	 	 	 	1	2	 	 	 
2016	12280	30123	Academy of Art	02	1735736	Washington, Alex	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1735736	Sr	G	5-9	1	0	1:00	 	 	""	 	 	""	1	2	50.00	1	1.00	 	 	 	""	 	 	 	 	1	1	 	 	 
2016	12280	929	Adams St.	30	1740788	McDonald, Lauren	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1740788	Fr	F	6-0	2	0	27:00	2	9	22.22	 	 	""	3	5	60.00	7	3.50	5	9	14	7.00	1	2	2	 	5	2	 	 	 
2016	12280	929	Adams St.	24	1740787	Allen, Cardelia	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1740787	Fr	G	5-10	2	0	18:00	2	5	40.00	 	 	""	1	3	33.33	5	2.50	1	 	1	0.50	3	2	2	 	1	2	 	 	 
2016	12280	929	Adams St.	21	1740786	Stanford, Erin	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1740786	Jr	G	5-9	2	0	13:00	 	3	0.00	 	1	0.00	1	2	50.00	1	0.50	2	1	3	1.50	2	1	1	1	1	2	 	 	 
2016	12280	929	Adams St.	20	1740785	Merschel, Madison	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1740785	Fr	F	6-1	2	2	28:00	 	7	0.00	 	1	0.00	 	 	""	 	""	 	7	7	3.50	 	3	2	 	3	2	 	 	 
2016	12280	929	Adams St.	13	1740784	Land, Karlie	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1740784	Fr	F	6-0	2	0	21:00	1	7	14.29	 	2	0.00	3	8	37.50	5	2.50	2	 	2	1.00	1	4	3	 	5	2	 	 	 
2016	12280	929	Adams St.	12	1740783	Brown, Johnette	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1740783	Jr	F	5-11	2	0	30:00	4	7	57.14	1	1	100.00	2	5	40.00	11	5.50	1	1	2	1.00	 	2	 	 	2	2	 	 	 
2016	12280	929	Adams St.	11	1740782	Hadzialijagic, Lejla	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1740782	Jr	F	6-0	2	0	30:00	2	6	33.33	 	1	0.00	5	8	62.50	9	4.50	3	3	6	3.00	1	2	1	2	2	2	 	 	 
2016	12280	929	Adams St.	10	1740781	Barnes, Arianna	http://stats.ncaa.org/player?game_sport_year_ctl_id=12280&stats_player_seq=1740781	Fr	G	5-6	2	0	31:00	2	8	25.00	2	2	100.00	3	4	75.00	9	4.50	7	3	10	5.00	1	4	5	 	4	2	 	 	 
